,S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE,S_INFO_LISTBOARDNAME,INDUSTRIESCODE,INDUSTRIESNAME
213,600435.SH,北方导航,20030704,,主板,b10c000000000000,国防军工
214,000869.SZ,张裕A,20001026,,主板,b10j000000000000,食品饮料
215,000883.SZ,湖北能源,19980519,,主板,b104000000000000,电力及公用事业
216,000959.SZ,首钢股份,19991216,,主板,b105000000000000,钢铁
217,000983.SZ,山西焦煤,20000726,,主板,b102000000000000,煤炭
218,002382.SZ,蓝帆医疗,20100402,,主板,b10i000000000000,医药
219,002387.SZ,维信诺,20100413,,主板,b10p000000000000,电子
220,002572.SZ,索菲亚,20110412,,主板,b109000000000000,轻工制造
221,002797.SZ,第一创业,20160511,,主板,b10m000000000000,非银行金融
222,002926.SZ,华西证券,20180205,,主板,b10m000000000000,非银行金融
223,002936.SZ,郑州银行,20180919,,主板,b10l000000000000,银行
224,002946.SZ,新乳业,20190125,,主板,b10j000000000000,食品饮料
225,002948.SZ,青岛银行,20190116,,主板,b10l000000000000,银行
226,300009.SZ,安科生物,20091030,,创业板,b10i000000000000,医药
227,600486.SH,扬农化工,20020425,,主板,b106000000000000,基础化工
228,600497.SH,驰宏锌锗,20040420,,主板,b103000000000000,有色金属
229,600549.SH,厦门钨业,20021107,,主板,b103000000000000,有色金属
230,600707.SH,彩虹股份,19960520,,主板,b10p000000000000,电子
231,600739.SH,辽宁成大,19960819,,主板,b10m000000000000,非银行金融
232,600909.SH,华安证券,20161206,,主板,b10m000000000000,非银行金融
233,600985.SH,淮北矿业,20040428,,主板,b102000000000000,煤炭
234,601118.SH,海南橡胶,20110107,,主板,b10k000000000000,农林牧渔
235,601139.SH,深圳燃气,20091225,,主板,b104000000000000,电力及公用事业
236,601333.SH,广深铁路,20061222,,主板,b10o000000000000,交通运输
237,601611.SH,中国核建,20160606,,主板,b107000000000000,建筑
238,601615.SH,明阳智能,20190123,,主板,b10b000000000000,电力设备及新能源
239,601699.SH,潞安环能,20060922,,主板,b102000000000000,煤炭
240,002019.SZ,亿帆医药,20040713,,主板,b10i000000000000,医药
241,000830.SZ,鲁西化工,19980807,,主板,b106000000000000,基础化工
242,000581.SZ,威孚高科,19980924,,主板,b10d000000000000,汽车
243,000656.SZ,金科股份,19961128,,主板,b10n000000000000,房地产
244,000728.SZ,国元证券,19970616,,主板,b10m000000000000,非银行金融
245,000987.SZ,越秀金控,20000718,,主板,b10m000000000000,非银行金融
246,001203.SZ,大中矿业,20210510,,主板,b105000000000000,钢铁
247,001965.SZ,招商公路,20171225,,主板,b10o000000000000,交通运输
248,002153.SZ,石基信息,20070813,,主板,b10r000000000000,计算机
249,002384.SZ,东山精密,20100409,,主板,b10p000000000000,电子
250,002409.SZ,雅克科技,20100525,,主板,b10p000000000000,电子
251,002430.SZ,杭氧股份,20100610,,主板,b10a000000000000,机械
252,002508.SZ,老板电器,20101123,,主板,b10g000000000000,家电
253,002673.SZ,西部证券,20120503,,主板,b10m000000000000,非银行金融
254,002739.SZ,万达电影,20150122,,主板,b10s000000000000,传媒
255,002939.SZ,长城证券,20181026,,主板,b10m000000000000,非银行金融
256,002945.SZ,华林证券,20190117,,主板,b10m000000000000,非银行金融
257,300136.SZ,信维通信,20101105,,创业板,b10q000000000000,通信
258,300363.SZ,博腾股份,20140129,,创业板,b10i000000000000,医药
259,300724.SZ,捷佳伟创,20180810,,创业板,b10a000000000000,机械
260,300869.SZ,康泰医学,20200824,,创业板,b10i000000000000,医药
261,600118.SH,中国卫星,19970908,,主板,b10c000000000000,国防军工
262,600157.SH,永泰能源,19980513,,主板,b102000000000000,煤炭
263,600233.SH,圆通速递,20000608,,主板,b10o000000000000,交通运输
264,600236.SH,桂冠电力,20000323,,主板,b104000000000000,电力及公用事业
265,600298.SH,安琪酵母,20000818,,主板,b10j000000000000,食品饮料
266,600299.SH,安迪苏,20000420,,主板,b106000000000000,基础化工
267,600399.SH,抚顺特钢,20001229,,主板,b105000000000000,钢铁
268,600482.SH,中国动力,20040714,,主板,b10b000000000000,电力设备及新能源
269,600521.SH,华海药业,20030304,,主板,b10i000000000000,医药
270,600522.SH,中天科技,20021024,,主板,b10q000000000000,通信
271,600705.SH,中航产融,19960516,,主板,b10m000000000000,非银行金融
272,600906.SH,财达证券,20210507,,主板,b10m000000000000,非银行金融
273,601077.SH,渝农商行,20191029,,主板,b10l000000000000,银行
274,601156.SH,东航物流,20210609,,主板,b10o000000000000,交通运输
275,601555.SH,东吴证券,20111212,,主板,b10m000000000000,非银行金融
276,601665.SH,齐鲁银行,20210618,,主板,b10l000000000000,银行
277,601872.SH,招商轮船,20061201,,主板,b10o000000000000,交通运输
278,603127.SH,昭衍新药,20170825,,主板,b10i000000000000,医药
279,603218.SH,日月股份,20161228,,主板,b10b000000000000,电力设备及新能源
280,603267.SH,鸿远电子,20190515,,主板,b10c000000000000,国防军工
281,603456.SH,九洲药业,20141010,,主板,b10i000000000000,医药
282,603613.SH,国联股份,20190730,,主板,b10r000000000000,计算机
283,688006.SH,杭可科技,20190722,,科创板,b10a000000000000,机械
284,688188.SH,柏楚电子,20190808,,科创板,b10r000000000000,计算机
285,688289.SH,圣湘生物,20200828,,科创板,b10i000000000000,医药
286,688521.SH,芯原股份-U,20200818,,科创板,b10p000000000000,电子
287,600717.SH,天津港,19960614,,主板,b10o000000000000,交通运输
288,000513.SZ,丽珠集团,19931028,,主板,b10i000000000000,医药
289,000009.SZ,中国宝安,19910625,,主板,b10t000000000000,综合
290,000156.SZ,华数传媒,20000906,,主板,b10s000000000000,传媒
291,000718.SZ,苏宁环球,19970408,,主板,b10n000000000000,房地产
292,000807.SZ,云铝股份,19980408,,主板,b103000000000000,有色金属
293,000887.SZ,中鼎股份,19981203,,主板,b10d000000000000,汽车
294,000990.SZ,诚志股份,20000706,,主板,b106000000000000,基础化工
295,002131.SZ,利欧股份,20070427,,主板,b10s000000000000,传媒
296,002152.SZ,广电运通,20070813,,主板,b10r000000000000,计算机
297,002183.SZ,怡亚通,20071113,,主板,b10o000000000000,交通运输
298,002195.SZ,二三四五,20071212,,主板,b10r000000000000,计算机
299,002434.SZ,万里扬,20100618,,主板,b10d000000000000,汽车
300,002745.SZ,木林森,20150217,,主板,b10p000000000000,电子
301,300182.SZ,捷成股份,20110222,,创业板,b10s000000000000,传媒
302,600037.SH,歌华有线,20010208,,主板,b10s000000000000,传媒
303,600060.SH,海信视像,19970422,,主板,b10g000000000000,家电
304,600155.SH,华创阳安,19980918,,主板,b10m000000000000,非银行金融
305,600598.SH,北大荒,20020329,,主板,b10k000000000000,农林牧渔
306,600623.SH,华谊集团,19921204,,主板,b106000000000000,基础化工
307,600718.SH,东软集团,19960618,,主板,b10r000000000000,计算机
308,600737.SH,中粮糖业,19960731,,主板,b10k000000000000,农林牧渔
309,600823.SH,世茂股份,19940204,,主板,b10n000000000000,房地产
310,600875.SH,东方电气,19951010,,主板,b10b000000000000,电力设备及新能源
311,600885.SH,宏发股份,19960205,,主板,b10b000000000000,电力设备及新能源
312,601128.SH,常熟银行,20160930,,主板,b10l000000000000,银行
313,601200.SH,上海环境,20170331,,主板,b104000000000000,电力及公用事业
314,601969.SH,海南矿业,20141209,,主板,b105000000000000,钢铁
315,603225.SH,新凤鸣,20170418,,主板,b101000000000000,石油石化
316,600259.SH,广晟有色,20000525,,主板,b103000000000000,有色金属
317,000685.SZ,中山公用,19970123,,主板,b104000000000000,电力及公用事业
318,002670.SZ,国盛金控,20120416,,主板,b10m000000000000,非银行金融
319,002078.SZ,太阳纸业,20061116,,主板,b109000000000000,轻工制造
320,000031.SZ,大悦城,19931008,,主板,b10n000000000000,房地产
321,002092.SZ,中泰化学,20061208,,主板,b106000000000000,基础化工
322,600022.SH,山东钢铁,20040629,,主板,b105000000000000,钢铁
323,600160.SH,巨化股份,19980626,,主板,b106000000000000,基础化工
324,600039.SH,四川路桥,20030325,,主板,b107000000000000,建筑
325,600418.SH,江淮汽车,20010824,,主板,b10d000000000000,汽车
326,600673.SH,东阳光,19930917,,主板,b103000000000000,有色金属
327,002416.SZ,爱施德,20100528,,主板,b10e000000000000,商贸零售
328,600801.SH,华新水泥,19940103,,主板,b108000000000000,建材
329,000690.SZ,宝新能源,19970128,,主板,b104000000000000,电力及公用事业
