,S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE,S_INFO_LISTBOARDNAME,INDUSTRIESCODE,INDUSTRIESNAME
418,600782.SH,新钢股份,19961225,,主板,b105000000000000,钢铁
419,600820.SH,隧道股份,19940128,,主板,b107000000000000,建筑
420,600901.SH,江苏租赁,20180301,,主板,b10m000000000000,非银行金融
421,600959.SH,江苏有线,20150428,,主板,b10s000000000000,传媒
422,601003.SH,柳钢股份,20070227,,主板,b105000000000000,钢铁
423,601005.SH,重庆钢铁,20070228,,主板,b105000000000000,钢铁
424,601106.SH,中国一重,20100209,,主板,b10a000000000000,机械
425,601718.SH,际华集团,20100816,,主板,b10h000000000000,纺织服装
426,601866.SH,中远海发,20071212,,主板,b10o000000000000,交通运输
427,601869.SH,长飞光纤,20180720,,主板,b10q000000000000,通信
428,601958.SH,金钼股份,20080417,,主板,b103000000000000,有色金属
429,603650.SH,彤程新材,20180627,,主板,b106000000000000,基础化工
430,603712.SH,七一二,20180226,,主板,b10c000000000000,国防军工
431,603866.SH,桃李面包,20151222,,主板,b10j000000000000,食品饮料
432,600811.SH,东方集团,19940106,,主板,b10e000000000000,商贸零售
433,002030.SZ,达安基因,20040809,,主板,b10i000000000000,医药
434,000528.SZ,柳工,19931118,,主板,b10a000000000000,机械
435,000970.SZ,中科三环,20000420,,主板,b10p000000000000,电子
436,002603.SZ,以岭药业,20110728,,主板,b10i000000000000,医药
437,002373.SZ,千方科技,20100318,,主板,b10r000000000000,计算机
438,600166.SH,福田汽车,19980602,,主板,b10d000000000000,汽车
439,600511.SH,国药股份,20021127,,主板,b10i000000000000,医药
440,600307.SH,酒钢宏兴,20001220,,主板,b105000000000000,钢铁
441,600563.SH,法拉电子,20021210,,主板,b10p000000000000,电子
442,600064.SH,南京高科,19970506,,主板,b10n000000000000,房地产
443,601000.SH,唐山港,20100705,,主板,b10o000000000000,交通运输
444,002268.SZ,卫士通,20080811,,主板,b10r000000000000,计算机
445,000598.SZ,兴蓉环境,19960529,,主板,b104000000000000,电力及公用事业
446,600141.SH,兴发集团,19990616,,主板,b106000000000000,基础化工
447,600062.SH,华润双鹤,19970522,,主板,b10i000000000000,医药
448,000062.SZ,深圳华强,19970130,,主板,b10n000000000000,房地产
449,601168.SH,西部矿业,20070712,,主板,b103000000000000,有色金属
450,000671.SZ,阳光城,19961218,,主板,b10n000000000000,房地产
451,000961.SZ,中南建设,20000301,,主板,b10n000000000000,房地产
452,002065.SZ,东华软件,20060823,,主板,b10r000000000000,计算机
453,002127.SZ,南极电商,20070418,,主板,b10e000000000000,商贸零售
454,002146.SZ,荣盛发展,20070808,,主板,b10n000000000000,房地产
455,002180.SZ,纳思达,20071113,,主板,b10p000000000000,电子
456,002422.SZ,科伦药业,20100603,,主板,b10i000000000000,医药
457,002439.SZ,启明星辰,20100623,,主板,b10r000000000000,计算机
458,002532.SZ,天山铝业,20101231,,主板,b103000000000000,有色金属
459,002958.SZ,青农商行,20190326,,主板,b10l000000000000,银行
460,003035.SZ,南网能源,20210119,,主板,b107000000000000,建筑
461,300037.SZ,新宙邦,20100108,,创业板,b106000000000000,基础化工
462,300251.SZ,光线传媒,20110803,,创业板,b10s000000000000,传媒
463,300253.SZ,卫宁健康,20110818,,创业板,b10r000000000000,计算机
464,300308.SZ,中际旭创,20120410,,创业板,b10q000000000000,通信
465,300383.SZ,光环新网,20140129,,创业板,b10q000000000000,通信
466,300741.SZ,华宝股份,20180301,,创业板,b10j000000000000,食品饮料
467,600027.SH,华电国际,20050203,,主板,b104000000000000,电力及公用事业
468,600066.SH,宇通客车,19970508,,主板,b10d000000000000,汽车
469,600095.SH,湘财股份,19970708,,主板,b10t000000000000,综合
470,600177.SH,雅戈尔,19981119,,主板,b10h000000000000,纺织服装
471,600208.SH,新湖中宝,19990623,,主板,b10n000000000000,房地产
472,600271.SH,航天信息,20030711,,主板,b10r000000000000,计算机
473,600369.SH,西南证券,20010109,,主板,b10m000000000000,非银行金融
474,600377.SH,宁沪高速,20010116,,主板,b10o000000000000,交通运输
475,600390.SH,五矿资本,20010115,,主板,b10m000000000000,非银行金融
476,600487.SH,亨通光电,20030822,,主板,b10q000000000000,通信
477,600498.SH,烽火通信,20010823,,主板,b10q000000000000,通信
478,600536.SH,中国软件,20020517,,主板,b10r000000000000,计算机
479,600637.SH,东方明珠,19930316,,主板,b10s000000000000,传媒
